Bryce Canyon National Park	brca	North Campground	99
Bryce Canyon National Park	brca	Sunset Campground	100
Cuyahoga Valley National Park	cuva	Stanford Campsites	5
Dry Tortugas National Park	drto	Garden Key Campground	8
Gates Of The Arctic National Park & Preserve	gaar	null	null
Kenai Fjords National Park	kefj	Exit Glacier Campground	12
Theodore Roosevelt National Park	thro	Cottonwood Campground	72
Theodore Roosevelt National Park	thro	Juniper Campground	48
Theodore Roosevelt National Park	thro	Roundup Group Horse Camp	1
Badlands National Park	badl	Cedar Pass Campground	0
Badlands National Park	badl	Sage Creek Campground	0
Big Bend National Park	bibe	Chisos Basin Campground	60
Big Bend National Park	bibe	Rio Grande Village Campground	100
Big Bend National Park	bibe	Cottonwood Campground	0
Big Bend National Park	bibe	Rio Grande Village RV	25
Canyonlands National Park	cany	Island in the Sky (Willow Flat) Campground	12
Canyonlands National Park	cany	The Needles (Squaw Flat) Campground	29
Glacier Bay National Park & Preserve	glba	Bartlett Cove Campground	33
Mount Rainier National Park	mora	Cougar Rock	173
Mount Rainier National Park	mora	Ohanapecosh	188
Mount Rainier National Park	mora	White River	112
National Parks of New York Harbor	npnh	null	null
Petrified Forest National Park	pefo	null	null
Rocky Mountain National Park	romo	Aspenglen Campground	52
Rocky Mountain National Park	romo	Glacier Basin Campground	150
Rocky Mountain National Park	romo	Longs Peak Campground	26
Rocky Mountain National Park	romo	Moraine Park Campground	244
Rocky Mountain National Park	romo	Timber Creek Campground	98
Sequoia & Kings Canyon National Parks	seki	South Fork Campground	10
Sequoia & Kings Canyon National Parks	seki	Cold Springs Campground	40
Sequoia & Kings Canyon National Parks	seki	Atwell Mill Campground	21
Sequoia & Kings Canyon National Parks	seki	Potwisha Campground	42
Sequoia & Kings Canyon National Parks	seki	Buckeye Flat Campground	28
Sequoia & Kings Canyon National Parks	seki	Lodgepole Campground	204
Sequoia & Kings Canyon National Parks	seki	Dorst Creek Campground	222
Sequoia & Kings Canyon National Parks	seki	Crystal Springs Campground	50
Sequoia & Kings Canyon National Parks	seki	Sunset Campground	159
