Bryce Canyon National Park	UT	null	null	null	null
Cuyahoga Valley National Park	OH	null	null	null	null
Dry Tortugas National Park	FL	null	null	null	null
Gates Of The Arctic National Park & Preserve	AK	null	null	null	null
Kenai Fjords National Park	AK	null	null	null	null
Theodore Roosevelt National Park	ND	55.0	Entrance to all units of Theodore Roosevelt National Park for one year from month of purchase. Admits pass holder and passengers in a single, private, non-commercial vehicle, or the pass holder and his/her immediate family (spouse, children, parents) when entry is by other means (foot, bicycle, etc.).	null	null
Badlands National Park	SD	50.0	This pass admits a single, private, non commercial vehicle and its occupants into the park. This pass does not include camping or give any type of discount at stores inside the park. Valid for one year from month of purchase.	null	null
Big Bend National Park	TX	55.0	The Big Bend Annual Pass covers entrance fees to Big Bend National Park. Pass is available at Big Bend National Park entrance stations or the Panther Junction Visitor Center. Pass is non-transferable.	null	null
Canyonlands National Park	UT	55.0	Valid for one year through the month of purchase. Admits one (1) private, non-commercial vehicle or its pass holder to Arches and Canyonlands national parks, and Natural Bridges National Monument.	null	null
Glacier Bay National Park & Preserve	AK	null	null	null	null
Mount Rainier National Park	WA	55.0	Grants unlimited entry for one year to pass owner and passengers in the same car.	null	null
National Parks of New York Harbor	NY	0.0	Some parks within the National Parks of New York Harbor may charge for certain amenities such as parking for beach areas and camping. None charge entrance fees.	null	null
Petrified Forest National Park	AZ	40.0	Good for a private vehicle and its occupants for a year.	null	null
Rocky Mountain National Park	CO	70.0	"Unlimited entry for one year from date of purchase. <a href=""https://www.pay.gov/public/form/start/40243691/"">Purchase online</a>."	null	null
Sequoia & Kings Canyon National Parks	CA	70.0	This pass is valid for Sequoia & Kings Canyon National Parks and Hume Lake Ranger District of Sequoia National Forest/Giant Sequoia National Monument for one year from the month of purchase. The pass admits all passengers in a private vehicle and is non-transferable. You can purchase this pass in advance at www.yourpassnow.com.	null	null
Wolf Trap National Park for the Performing Arts	VA	null	null	null	null
Wrangell - St Elias National Park & Preserve	AK	null	null	null	null
Yosemite National Park	CA	38.333333333333336	Annual pass providing free entrance to Yosemite for 12 months from the date of purchase.	null	null
Arches National Park	UT	55.0	Valid for one year through the month of purchase. Admits one (1) private, non-commercial vehicle or its pass holder to Arches and Canyonlands national parks, and Natural Bridges National Monument.	null	null
Black Canyon Of The Gunnison National Park	CO	40.0	This pass admits the permit holder and all accompanying passengers in a single, private, noncommercial vehicle to the park. It is valid for 12 months from date of purchase and covers entry fees only.	null	null
Carlsbad Caverns National Park	NM	null	null	null	null
Crater Lake National Park	OR	30.0	Valid at Crater Lake National Park and Lava Beds National Monument only, the Crater Lake annual pass is good for one year from the issue month. It admits the pass owner and accompanying passengers in a single, private, noncommercial vehicle or pass owner and three persons when entry is by other means.	null	null
Gateway Arch National Park	MO	null	null	null	null
Glacier National Park	MT	70.0	This pass is valid for one year from the month of entry and admits the purchaser and passengers in a single, private, non-commercial vehicle, or the pass holder and his/her immediate family (spouse, children, parents) when entry is by other means (foot, bicycle) into the park. It is nontransferable, nonrefundable, and does not cover camping fees.	null	null
Great Sand Dunes National Park & Preserve	CO	45.0	Covers one family's entrance for 12 months from time of purchase. Valid for two adults with signatures plus others in vehicle.	null	null
Lassen Volcanic National Park	CA	55.0	Valid for one year from month of purchase at Lassen Volcanic National Park and Whiskeytown National Recreation Area. Passes may be purchased as park entrance stations mid-May through October.	null	null
