name,lat,long,area,url2,url,homepage,campsites,trails,activity,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Acadia NP,44.3078,-68.3006,306629780.1,https://drive.google.com/uc?id=1tcsKjd3k3BlWkCpudyYukgPZwIviLJNz,image/Acadia.jpg,https://www.nps.gov/acad/index.htm,577,1071.336738,"Arts & Culture, Biking, Birdwatching, Boating, Camping, Canoeing, Children's Programs, Climbing, Cross-Country Skiing, Fishing, Fly Fishing, Geocaching, Hiking, Horseback Riding, Kayaking, Picnicking, Skiing, Tours, Stargazing,  Swimming, Water Activities , Wildlife Viewing, Winter Sports",1.75E+04,1.75E+04,2.28E+04,7.93E+04,2.72E+05,5.59E+05,7.64E+05,7.64E+05,6.45E+05,5.59E+05,4.52E+04,1.40E+04
Arches NP,38.7226,-109.5864,509081049.9,https://drive.google.com/uc?id=1GLc2EVfBupmNwn8FJdwCZHTQxrX_KHwE,image/Arches.jpg,https://www.nps.gov/arch/index.htm,51,591.915252,"Biking, Camping, Children's Programs, Hiking, Horseback Riding, Off-Roading, Scenic Drive, Shopping, Stargazing, Tours",3.28E+04,4.44E+04,1.39E+05,1.88E+05,1.88E+05,1.90E+05,1.90E+05,1.87E+05,1.88E+05,1.54E+05,7.81E+04,5.14E+04
Badlands NP,43.6858,-102.4829,1879080619,https://drive.google.com/uc?id=1sWLdwhLSvUY1DAnv_0O08A0lTDoGOipw,image/Badlands.jpg,https://www.nps.gov/badl/index.htm,100,90.605842,"Biking, Birdwatching, Camping, Children's Programs, Geocaching, Hiking, Historical, Horseback Riding, Off-Roading, Shopping, Stargazing, Wildlife Viewing",1.08E+04,1.08E+04,2.07E+04,2.22E+04,8.28E+04,2.14E+05,2.58E+05,2.19E+05,1.11E+05,3.24E+04,1.72E+04,1.05E+04
Big Bend NP,29.2982,-103.2298,4329893772,https://drive.google.com/uc?id=1wqtNVV4FicbtxTGagMEeygaS0f27CmBo,image/Big_Bend.jpg,https://www.nps.gov/bibe/index.htm,185,1155.827988,"Biking, Birdwatching, Camping, Children's Programs, Hiking, Kayaking, Off-Roading, Scenic Drive, Stargazing, Tours, Wildlife Viewing",3.76E+04,3.60E+04,6.88E+04,3.45E+04,2.88E+04,2.49E+04,1.92E+04,1.62E+04,2.17E+04,3.71E+04,3.20E+04,3.80E+04
Biscayne NP,25.4906,-80.2102,867063858.6,https://drive.google.com/uc?id=1UhXw7RH7GLGY0b_fJwiZy0hSRymut6Zt,image/Biscayne.jpg,https://www.nps.gov/bisc/index.htm,60,21.404222,"Boating, Camping, Children's Programs, Fishing, Historical, Kayaking, Tours",2.71E+04,3.25E+04,4.96E+04,5.17E+04,3.59E+04,5.08E+04,5.63E+04,4.61E+04,3.63E+04,3.00E+04,3.45E+04,3.20E+04
Black Canyon of the Gunnison NP,38.5778,-107.7243,207094308.8,https://www.nps.gov/common/uploads/structured_data/3C81655F-1DD8-B71B-0B4BCFFDB74EE723.jpg,image/Black_Canyon.jpg,https://www.nps.gov/blca/index.htm,116,59.384646,"Fishing, Hiking, Wildlife Viewing",8.52E+03,5.27E+03,7.49E+03,1.13E+04,4.00E+04,4.58E+04,4.51E+04,4.60E+04,4.52E+04,2.56E+04,2.19E+04,3.59E+03
Bryce Canyon NP,37.584,-112.1827,232305572.4,https://drive.google.com/uc?id=13PT3X__1B28f8hCwzgkBJv8HpPUKjDTO,image/Bryce_Canyon.jpg,https://www.nps.gov/brca/index.htm,199,250.896106,"Camping, Children's Programs, Cross-Country Skiing, Hiking, Horseback Riding, Shopping, Skiing, Stargazing, Tours, Wildlife Viewing, Winter Sports",3.64E+04,4.08E+04,9.43E+04,2.26E+05,4.03E+05,4.10E+05,4.23E+05,4.16E+05,4.21E+05,2.25E+05,8.69E+04,6.54E+04
Canyonlands NP,38.2456,-109.8802,2196490666,https://drive.google.com/uc?id=1umdm8DwwQ03hmLFQkpviCPpL4zHXpeGp,image/Canyonlands.jpg,https://www.nps.gov/cany/index.htm,41,2016.50302,"Biking, Boating, Camping, Children's Programs, Hiking, Horseback Riding, Kayaking, Off-Roading, Shopping, Stargazing, Tours, Whitewater Rafting",1.41E+04,1.74E+04,8.05E+04,9.38E+04,1.02E+05,8.96E+04,7.75E+04,6.90E+04,9.54E+04,8.38E+04,4.74E+04,1.50E+04
Capitol Reef NP,38.2822,-111.247,1605718367,https://drive.google.com/uc?id=16FUf5oVWCaoyzz9lwjn-av78MgZNqXa7,image/Capitol_Reef.jpg,https://www.nps.gov/care/index.htm,72,682.521094,"Arts & Culture, Biking, Birdwatching, Camping, Children's Programs, Climbing, Foraging, Hiking, Historical, Horseback Riding, Hunting, Off-Roading, Picnicking, Scenic Drive, Shopping, Stargazing, Tours, Wildlife Viewing",1.42E+04,2.22E+04,6.93E+04,1.34E+05,1.78E+05,1.67E+05,1.50E+05,1.34E+05,1.74E+05,1.50E+05,5.67E+04,2.06E+04
Carlsbad Caverns NP,32.1409,-104.553,264914339.3,https://www.nps.gov/common/uploads/structured_data/3C824541-1DD8-B71B-0B357AECFFE928B9.jpg,image/Carlsbad_Caverns.jpg,https://www.nps.gov/cave/index.htm,0,62.76426,"Birdwatching, Camping, Caving, Children's Programs, Horseback Riding, Picnicking, Shopping, Stargazing, Tours, Wildlife Viewing",1.74E+04,1.74E+04,7.67E+04,3.83E+04,5.15E+04,6.78E+04,7.43E+04,4.44E+04,3.19E+04,3.46E+04,3.41E+04,1.82E+04
