park1,park2,activity similariy,crowdedness similarity Jan,crowdedness similarity Feb,crowdedness similarity Mar,crowdedness similarity Apr,crowdedness similarity May,crowdedness similarity Jun,crowdedness similarity Jul,crowdedness similarity Aug,crowdedness similarity Sep,crowdedness similarity Oct,crowdedness similarity Nov,crowdedness similarity Dec
Acadia NP,Acadia NP,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Acadia NP,Arches NP,0.4616,0.5766,0.9484,0.4230,0.2337,0.8247,0.8616,0.6874,0.7805,0.7485,0.8412,0.4596,0.8778
Acadia NP,Badlands NP,0.5417,0.8643,0.9482,0.6636,0.6190,0.9525,0.8170,0.7728,0.8212,0.6867,0.9711,0.7322,0.8745
Acadia NP,Big Bend NP,0.5658,0.2581,0.9017,0.4400,0.4718,0.8709,0.7596,0.5128,0.8102,0.6849,0.7157,0.5645,0.3748
Acadia NP,Biscayne NP,0.4729,0.4112,0.9373,0.4879,0.2989,0.8671,0.7675,0.4945,0.7766,0.6186,0.9626,0.5459,0.8486
Acadia NP,Black Canyon of the Gunnison NP,0.3612,0.8789,0.9498,0.7190,0.6803,0.8671,0.8531,0.8172,0.8251,0.6216,0.9526,0.7417,0.8787
Acadia NP,Bryce Canyon NP,0.6287,0.7623,0.9638,0.6198,0.3049,0.8697,0.9041,0.9064,0.8607,0.9255,0.9165,0.7666,0.9096
Acadia NP,Canyonlands NP,0.5417,0.5706,0.9442,0.5233,0.3893,0.6086,0.5546,0.3632,0.7758,0.6689,0.4168,0.5649,0.8632
Acadia NP,Capitol Reef NP,0.5898,0.7246,0.9562,0.5448,0.2385,0.8031,0.8237,0.8533,0.8279,0.7970,0.8470,0.6638,0.8941
Acadia NP,Carlsbad Caverns NP,0.5275,0.2504,0.9298,0.3628,0.1021,0.8539,0.7424,0.4926,0.7705,0.5968,0.8892,0.3192,0.8253
Acadia NP,Channel Islands NP,0.7298,0.7828,0.9531,0.6353,0.5113,0.9139,0.7340,0.4088,0.7762,0.6140,0.7318,0.7271,0.8825
Acadia NP,Congaree NP,0.6999,0.6377,0.9362,0.4907,0.3989,0.8450,0.7404,0.3211,0.7671,0.5913,0.9444,0.4976,0.8424
Acadia NP,Crater Lake NP,0.8696,0.9776,0.9733,0.9233,0.9510,0.9291,0.8339,0.6018,0.8432,0.7708,0.8716,0.9620,0.9367
Acadia NP,Cuyahoga Valley NP,0.6940,0.2557,0.9325,0.4367,0.1077,0.7586,0.7418,0.6091,0.8113,0.7088,0.8591,0.4031,0.8320
Acadia NP,Death Valley NP,0.5573,0.4609,0.6522,0.5618,0.7963,0.8945,0.6649,0.4509,0.8171,0.7351,0.8911,0.5045,0.5934
Acadia NP,Denali NP & PRES,0.6461,0.2720,0.8486,0.3220,0.2745,0.4495,0.4116,0.5584,0.7806,0.5676,0.1905,0.2923,0.6768
Acadia NP,Dry Tortugas NP,0.6621,0.2497,0.9293,0.3767,0.1300,0.7518,0.7372,0.4330,0.7675,0.5787,0.9001,0.3005,0.8233
Acadia NP,Everglades NP,0.6999,0.2355,0.7298,0.7921,0.6698,0.8884,0.7763,0.4350,0.8015,0.6598,0.7643,0.8630,0.9386
Acadia NP,Gates of the Arctic NP & PRES,0.3941,0.0051,0.5633,0.0351,0.0070,0.0763,0.1196,0.0296,0.4948,0.2378,0.0287,0.0191,0.3264
Acadia NP,Gateway Arch NP,0.2085,0.2279,0.9269,0.3296,0.0289,0.7543,0.7456,0.5986,0.8038,0.6542,0.8432,0.2929,0.8141
Acadia NP,Glacier Bay NP & PRES,0.7924,0.0778,0.8966,0.1920,0.0850,0.5537,0.5863,0.3732,0.7799,0.5157,0.1588,0.1329,0.7442
Acadia NP,Glacier NP,0.7924,0.9691,0.9435,0.9593,0.9654,0.8704,0.9490,0.9722,0.9793,0.9084,0.6422,0.9564,0.9242
Acadia NP,Grand Canyon NP,0.6697,0.2996,0.9427,0.4433,0.2169,0.6753,0.7782,0.8608,0.9119,0.8765,0.6499,0.3546,0.7957
Acadia NP,Grand Teton NP,0.8002,0.9929,0.9695,0.9953,0.9820,0.7854,0.7425,0.6207,0.8291,0.7886,0.7226,0.9876,0.9587
Acadia NP,Great Basin NP,0.6061,0.9629,0.9575,0.6947,0.8370,0.8067,0.8975,0.8561,0.8427,0.7434,0.7771,0.5447,0.8986
Acadia NP,Great Sand Dunes NP & PRES,0.8513,0.9177,0.9480,0.6859,0.4109,0.8413,0.8769,0.7923,0.8181,0.6650,0.7906,0.7397,0.8742
Acadia NP,Great Smoky Mountains NP,0.6130,0.6975,0.9013,0.7361,0.5102,0.8641,0.8711,0.8620,0.8916,0.8645,0.9012,0.6269,0.8430
Acadia NP,Guadalupe Mountains NP,0.4865,0.6588,0.9480,0.4558,0.5488,0.8358,0.7741,0.4484,0.7789,0.6270,0.8004,0.6385,0.8742
Acadia NP,Haleakala NP,0.4256,0.1945,0.9256,0.3944,0.1247,0.8713,0.7534,0.6615,0.7852,0.6345,0.8736,0.3561,0.8259
Acadia NP,Hawaii Volcanoes NP,0.5275,0.2134,0.9154,0.4292,0.1736,0.9046,0.4732,0.6239,0.6220,0.7607,0.8847,0.4439,0.8499
Acadia NP,Hot Springs NP,0.3128,0.1947,0.9259,0.3983,0.1424,0.8655,0.8199,0.6400,0.7940,0.7019,0.9053,0.3789,0.8287
Acadia NP,Indiana Dunes NP,0.8447,0.3348,0.9413,0.4300,0.2585,0.8957,0.8111,0.7867,0.8931,0.5476,0.8821,0.6413,0.8502
Acadia NP,Isle Royale NP,0.6940,0.9017,0.9684,0.8883,0.8894,0.7883,0.8437,0.3403,0.7751,0.6293,0.6407,0.8852,0.9269
Acadia NP,Joshua Tree NP,0.6130,0.2898,0.7550,0.4614,0.2798,0.9279,0.8345,0.7121,0.8661,0.8220,0.6563,0.4774,0.6771
Acadia NP,Katmai NP & PRES,0.5517,0.0994,0.8901,0.1995,0.1064,0.3101,0.4175,0.2302,0.7381,0.5160,0.1483,0.1473,0.7310
Acadia NP,Kenai Fjords NP,0.7819,0.1306,0.9288,0.3581,0.1429,0.7268,0.7259,0.5341,0.7760,0.6023,0.5155,0.2621,0.8219
Acadia NP,Kings Canyon NP,0.6994,0.6942,0.9502,0.7217,0.5941,0.8027,0.7939,0.8443,0.8905,0.7095,0.6590,0.7010,0.8840
Acadia NP,Kobuk Valley NP,0.5658,0.1465,0.9310,0.4131,0.2434,0.7029,0.7110,0.2588,0.7616,0.5763,0.8185,0.3246,0.8276
Acadia NP,Lake Clark NP & PRES,0.8132,0.0074,0.8958,0.1413,0.0160,0.3211,0.4430,0.1152,0.7393,0.5210,0.1304,0.0727,0.7398
Acadia NP,Lassen Volcanic NP,0.8002,0.8345,0.9655,0.8281,0.7888,0.8830,0.9055,0.9014,0.9127,0.8185,0.6870,0.8265,0.9198
Acadia NP,Mammoth Cave NP,0.5934,0.9167,0.9634,0.7343,0.5263,0.9309,0.9112,0.9083,0.8434,0.7243,0.8344,0.8058,0.9160
Acadia NP,Mesa Verde NP,0.4423,0.9002,0.9692,0.8428,0.6793,0.7514,0.9167,0.8879,0.8677,0.7693,0.7972,0.8853,0.9281
Acadia NP,Mount Rainier NP,0.5658,0.9292,0.9917,0.8881,0.9314,0.8589,0.7778,0.9318,0.9595,0.8128,0.5060,0.9451,0.9817
Acadia NP,National Park of American Samoa,0.4256,0.2120,0.9285,0.3619,0.1203,0.7208,0.7141,0.2852,0.7606,0.5745,0.4037,0.2666,0.8213
Acadia NP,North Cascades NP,0.5783,0.9641,0.9868,0.9712,0.9650,0.7695,0.6878,0.2893,0.7622,0.6354,0.5996,0.9617,0.9719
Acadia NP,Olympic NP,0.9336,0.8390,0.9122,0.8740,0.8015,0.8612,0.7701,0.7840,0.8906,0.7993,0.6312,0.8617,0.8650
Acadia NP,Petrified Forest NP,0.6255,0.2528,0.9307,0.3791,0.1036,0.8466,0.7368,0.5262,0.7772,0.6168,0.8596,0.3639,0.8280
Acadia NP,Pinnacles NP,0.5560,0.9039,0.9564,0.7686,0.7681,0.9307,0.7967,0.4307,0.7780,0.6236,0.8654,0.8650,0.8969
Acadia NP,Redwood NP,0.5417,0.9490,0.9805,0.9426,0.8985,0.8746,0.7802,0.4935,0.8008,0.6754,0.7286,0.9549,0.9545
Acadia NP,Rocky Mountain NP,0.7372,0.7694,0.9637,0.8647,0.7904,0.9023,0.9322,0.9443,0.9567,0.9355,0.8608,0.8675,0.9318
Acadia NP,Saguaro NP,0.4423,0.3018,0.9266,0.4754,0.3177,0.8017,0.7149,0.4040,0.7790,0.6231,0.6921,0.5202,0.8673
Acadia NP,Sequoia NP,0.6994,0.9948,0.9582,0.9980,0.8392,0.8180,0.8540,0.8567,0.7346,0.7881,0.7522,0.9583,0.9384
Acadia NP,Shenandoah NP,0.5922,0.8832,0.9544,0.8813,0.8224,0.8808,0.7852,0.7317,0.8961,0.7925,0.7589,0.8710,0.9291
Acadia NP,Theodore Roosevelt NP,0.7586,0.9189,0.9627,0.8323,0.8069,0.8738,0.8879,0.8270,0.8382,0.7481,0.9155,0.8655,0.9117
Acadia NP,Virgin Islands NP,0.7537,0.1542,0.6558,0.2790,0.0814,0.7821,0.7424,0.3338,0.7662,0.5864,0.8969,0.2909,0.8171
Acadia NP,Voyageurs NP,0.8645,0.8924,0.9559,0.7898,0.8351,0.7270,0.3957,0.2034,0.7443,0.6149,0.7103,0.8187,0.8955
Acadia NP,Wind Cave NP,0.4627,0.7458,0.9415,0.5741,0.4126,0.9160,0.8004,0.6904,0.7956,0.6603,0.9622,0.6472,0.8570
Acadia NP,Wrangell-St. Elias NP & PRES,0.6668,0.0276,0.7004,0.0707,0.0306,0.1368,0.2064,0.0811,0.6114,0.3331,0.0541,0.0477,0.4531
Acadia NP,Yellowstone NP,0.7175,0.9916,0.8264,0.9656,0.9908,0.8451,0.8349,0.8147,0.8504,0.8026,0.7152,0.9558,0.8206
Acadia NP,Yosemite NP,0.7735,0.7922,0.7925,0.7302,0.5735,0.8936,0.8393,0.6370,0.8425,0.7244,0.6674,0.7692,0.6175
Acadia NP,Zion NP,0.5560,0.4873,0.9293,0.4888,0.1896,0.8914,0.9459,0.9652,0.9467,0.9587,0.7915,0.4655,0.8445
Arches NP,Acadia NP,0.4616,0.5766,0.9484,0.4230,0.2337,0.8247,0.8616,0.6874,0.7805,0.7485,0.8412,0.4596,0.8778
Arches NP,Arches NP,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Arches NP,Badlands NP,0.7303,0.6856,0.9927,0.8183,0.7319,0.9063,0.9247,0.9291,0.9934,0.9679,0.7465,0.7748,0.9825
Arches NP,Big Bend NP,0.7628,0.4384,0.9392,0.7388,0.8241,0.7233,0.8184,0.6145,0.9850,0.9399,0.6758,0.7168,0.4256
