NPS Public Use Statistics Query Builder,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Public%20Use%20Statistics%20(1979%20-%20Last%20Calendar%20Year),,,,,,,,
,,,,,,,,
Park,Year,Month,Recreation Visits,Recreation Hours,Tent Campers,,RV Campers,Backcountry Campers
Acadia NP,2008,1,"10,744","70,910",0,,0,0
Acadia NP,2008,2,"11,131","73,463",0,,0,0
Acadia NP,2008,3,"17,489","115,426",0,,0,0
Acadia NP,2008,4,"53,798","312,027",0,,0,0
Acadia NP,2008,5,"125,679","720,213","5,328",,927,53
Acadia NP,2008,6,"263,542","1,506,391","13,242",,"3,138",171
Acadia NP,2008,7,"470,295","2,304,254","30,990",,"4,668",389
Acadia NP,2008,8,"514,443","2,503,350","34,911",,"6,051",369
Acadia NP,2008,9,"319,582","1,469,491","11,214",,"4,680",125
Acadia NP,2008,10,"246,533","1,304,145","5,343",,"1,734",122
Acadia NP,2008,11,"32,759","196,553",0,,0,0
Acadia NP,2008,12,"9,862","59,172",0,,0,0
Acadia NP,2009,1,"9,366","61,813",0,,0,0
Acadia NP,2009,2,"9,751","64,358",0,,0,0
Acadia NP,2009,3,"19,258","127,103",0,,0,0
Acadia NP,2009,4,"59,277","343,809",0,,0,0
Acadia NP,2009,5,"129,885","746,909","5,958",,"1,104",52
Acadia NP,2009,6,"244,780","1,392,499","12,210",,"3,111",128
Acadia NP,2009,7,"457,622","2,247,462","28,551",,"5,376",346
Acadia NP,2009,8,"586,446","2,895,445","36,180",,"5,664",299
Acadia NP,2009,9,"399,789","1,851,687","17,079",,"5,637",212
Acadia NP,2009,10,"258,007","1,395,369","5,064",,"1,863",0
Acadia NP,2009,11,"44,042","264,255",0,,0,0
Acadia NP,2009,12,"9,475","56,851",0,,0,0
Acadia NP,2010,1,"10,510","69,363",0,,0,0
Acadia NP,2010,2,"13,398","88,427",0,,0,0
Acadia NP,2010,3,"26,080","172,125",0,,0,0
Acadia NP,2010,4,"57,992","336,355",537,,162,0
Acadia NP,2010,5,"169,898","976,316","7,743",,"2,064",72
Acadia NP,2010,6,"286,635","1,641,129","15,909",,"3,357",153
Acadia NP,2010,7,"545,382","2,666,213","35,916",,"7,500",335
Acadia NP,2010,8,"627,918","3,071,414","37,995",,"7,248",313
